id,tweet,class,Mina,,Sherif,,Mostafa
26, احساس ان فى حد تانى خد مكانك من وسط الناس اللى بتحبهم وهما سابوه يخدو عادى . احساس وحش اوى ',neg,sadness,,fear,FALSE,
27, @memoali4ever  بس انا كنت بحب المدرس بتاعها فلذلك حبتها ',pos,happiness,,surprise,FALSE,
29, و مين غيرك في قلبي اكتبله مرسالي ',pos,happiness,,happiness,1,
30, السكينة لباسه والبر شعاره والتقوى ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدى امامه ',pos,relaxed,,happiness,FALSE,
33, @NesmaAbouleila @Tahoun71 ربنا يشفيه ويقوم بالسلامه ويشفى كل مريض ',pos,sadness,,sadness,1,
34," """"""متيأسش من اللي فات، واستبشر باللي جاي .. ربك كريم"""""""" '",pos,sadness,,sadness,1,
36," ""\""""@123Abdoibr: #عاجل  تردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب 10921 علي معدل ترميز 27500 مدار 3 نايل سات مبروك يااحرار شير\""""\"""" '",neu,happiness,,relaxed,FALSE,
37," ""التايم لاين مُفرح بطريقة تفرّح :\"""")) '",pos,happiness,,happiness,1,
40, خخخخخخخ كسم تضيع الرميات ',neg,anger,,anger,1,
41, متخصصين بنضيع ضربات جزاء ف كره القدم ورميات حره ف السله مرار ',neg,anger,,anger,1,
42, @waled21148264 اهل مكة ادرى بشعابها ',neu,anger,,relaxed,FALSE,
44, حالة من الاكتئاب و البؤس .. ',neg,sadness,,sadness,1,
47, 32 ثانيه .. الفرق 55 لينا .. ياااارب ',pos,fear,,fear,1,
51," """"""إذا بلغك عن أخيك شيء تكرهه ، فالتمس له العذر جهدك ،فإن لم تجد له عذرا ، فقل : لعل له عذرا لا أعلمه.... ربنا يسامح .."""""""" '",pos,relaxed,,relaxed,1,
53, على الصقفة كلة يرقص على الصقفة كلة يرقص  زماااااااااااااااااااااااااالك ',pos,happiness,,happiness,1,
60, احساس ان الدنيا تسود ادامك كره واحده وتلاقى هموم تقيله وقعت علىيك فجاه  احساس وحش اوووى ',neg,sadness,,sadness,1,
63, من يملك الأخلاق والأدب يسكن في القلوب إلى الأدب ',pos,relaxed,,relaxed,1,
71, @mimi_kokaice76 بس بيشتم مينا ! ',neg,surprise,,surprise,1,
72," ""الحياة ال ف خيالي حلوة اوووي :\"""") '",pos,sadness,,happiness,FALSE,
76, لا تيأس إذا حرمك الله ما تحب ولا تحزن إذا انجبرت على التعايش مع وضع قد يؤلمك بل إبتسم لأن الله قال بكل رحمة وعسى أن تكرهوا شيئا وهو خير لكم ',pos,relaxed,,relaxed,1,
77, مفتقدة اوي فكرة ان يكون في حد قدي في البيت. ',neg,sadness,,sadness,1,
79, النهايات السعيده دائما تاتي في المشمش ',neg,sadness,,sadness,1,
81, @ALIABAS81096753 @69_sou ياحﻻوتك ياسيسي استقبال رائع لرئيس مصر الججيدة القوية ',pos,happiness,,happiness,1,
82, صحيح ان الغربة صعبة بس الوحدة جميلة :D تخلص من هموم الناس وتفضى لهومك تحلها :) ',pos,relaxed,,relaxed,1,
86," """"""مُرتَدٌّ أنا عن حُبكِ و إن أهدرتى دمى المُباحُ ، فإن كان الإيمَانُ فى قُرَبكِ فالكفر بكِ فَلاحُ !"""""""" '",neg,anger,,relaxed,FALSE,
88," ""\""""@do_dy89: صعبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطان\"""" http://t.co/De82zZpxeL '",neg,sadness,,sadness,1,
90, @weaamhilali  هاتيهم اخرج بيهم انا ',neu,happiness,,anger,FALSE,
92, @Mohamed_Helmy_T انا مضايق قوي ..  بصوت فداء ',neg,sadness,,sadness,1,
93, الحرية لﻻولتراس الحرية للمدرج الكورة للجمهور يا داخلية وسخة ',neg,anger,,anger,1,
98, ده قالي في يوم يا حبيبتى خدي القمر  ورحت معاه ومااداني إلا السهر ',neg,relaxed,,relaxed,1,
100, ومين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونة وفراخ بانيه ؟؟ ',neu,disgust,,happiness,FALSE,
101, وخيمت عيناك بليلى -------- وغادر نبضك عالمى ---------- عيناك منسيتان ',neg,sadness,,sadness,1,
103, @teamah77 @medhat65 ربنا يحفظك من كل شر و يبارك فيكي ',pos,happiness,,relaxed,FALSE,
104, جيل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها هاتى كوباية ميه واعملى شاى علشان احبس ههههههههههههههههههههههه ',neu,relaxed,,relaxed,1,
105, @sarrranagi إنا لله و إنا إليه راجعون  طب ممكن لينك المكتب الحقوقى ',neg,sadness,,sadness,1,
107, دا الدين في عرف الحر هم و مذلة و مر ',neg,anger,,sadness,FALSE,
112, @monyadel982 @DesoukyAya اه والله حرقوا دمنا يلا بنحب مجانين ',neg,anger,,anger,1,
113, قرب من ربنا وهتقرب منك كل حاجة حلوة ♥ ',pos,relaxed,,relaxed,1,
114, #KirazMevsimi #MohammadChahine  ياريت نكسف التصويت على رقم 2222222 للصوت الدهبى http://t.co/uNmOarkblk ',pos,relaxed,,relaxed,1,
115, ومن تانى اكيد راجعين انا دايب وكلى حنين ',pos,relaxed,,relaxed,1,
119, اللي يشوفها في الشارع ميشوفهاش ع الانستجرام ',neg,disgust,,surprise,FALSE,
120, من ٤ سنين اتفرجت ع مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه يا جماعه ',neg,disgust,,disgust,1,
122, @CBCeXtra افلح أن صدق والمقصود..(قطر( ',neg,disgust,,disgust,1,
123, قاعدة الصحاب في نص الاسبوع بتقرب اكتر من قاعدة اخر الأسبوع ',neu,relaxed,,relaxed,1,
124," """"""\""""@seksek: هذه الدنيا كتاب انت فيه الفكر، من القائل\"""" الست"""""""" '",neu,relaxed,,relaxed,1,
126, دلوقتي جاي بتلعب على الي خبزك وعجنك ! ',neg,relaxed,,surprise,FALSE,
127," ""@hanaa35 الخوف بألف نصل ---- كل نصل ينغرس فى حلم قادم ---- فتسود حالة نزف لكل الأحلام ---- ويسود البحث عن ذرة أمان \"""" وآمنهم من خوف \"""" '",neg,fear,,fear,1,
128, الستاذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادمى ♥  #MohammadChahine ',neu,relaxed,,relaxed,1,
129, انت اخر واحد ف الدنيا ممكن شيرين تبكى عليه .. انت فاهم ! ',neg,anger,,disgust,FALSE,
132, @aaaahmad21  طبعا اهم من الكتابه والاحساس الاملاء الشيء لزوم الشيء  ..^^ ',neu,relaxed,,anger,FALSE,
133, @sohamorsy مساك أروع ',pos,happiness,,sadness,FALSE,
135, @sSoOma17 فى حد بعت هداي لشيرو ',neu,surprise,,relaxed,FALSE,
138, كنترووووووووول نادوا دعاء بقى #StaracArabia #DoaaElSebaii ',neu,relaxed,,anger,FALSE,
143, كنت بائس من حياتى وحزين الساعه12 لكن دلوقتى متفأل ومبسوط فشخ  سبحان مغير اﻻحوال ',pos,happiness,,surprise,FALSE,
144, اوعي تستسهل ماده ',neu,relaxed,,relaxed,1,
147, ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني .. دا انا كنت في حبك من الاول ابليس متعشم في الجنه ',neg,sadness,,surprise,FALSE,
148, انا من كتر الانشغال حاسس ان في وقت اجازتي كائن غريب في بيتي بتعرف علي الاسرة من اول وجديد ',neg,disgust,,surprise,FALSE,
149, اه علي الجامعة و امتحانات الجامعة ',neg,fear,,anger,FALSE,
154, @Dinaelhendwy فعلا صح عندك حق الله يرحمك يا امى ',pos,sadness,,disgust,FALSE,
156, تيجى عليه يابن الاحبى بورده   ....يسلم على كس امك ',neg,anger,,anger,1,
158, @NightStars777 ربنا معاك ان شاء الله ',pos,relaxed,,relaxed,1,
160, سهام الليل صائبة المرامي اذا وترت باوتار الخشوع يسددها الى المرمى رجال يطيلون السجود مع الركوع ',neu,relaxed,,relaxed,1,
162, قاطعهم وقل لهم: تباً لكم ! ',neg,anger,,anger,1,
163, راح -_- ',neg,sadness,,sadness,1,
164," """"""حين نكون مفرغين ولا نحوي إلا الخواء ، حينها سوف نكون أقل شعوراً بالألم."""""""" '",neg,sadness,,relaxed,FALSE,
165, @iMiruuzz انتي المفروض ثانوي صح؟ ',neu,surprise,,surprise,1,
166, انا من يوم السبت هبدا مذاكرة ✋ ',neu,relaxed,,sadness,FALSE,
172, @heshamelDali تفكيرك في محله✋ ',pos,relaxed,,relaxed,1,
173, صباح جديد على اهلي فى تويتر ',pos,relaxed,,relaxed,1,
174, طبعا انتي سقعانين وانا كمان  بس انا عرقان والسخونيه ديه بنت جزمه ',neg,anger,,anger,1,
175, @AbyHegazy وانت من اهل ميتين امه ياحما ',neg,anger,,anger,1,
177, كنت زمان بستنى سؤالك عني دلوقتي مبقاش يفرق. ',neg,sadness,,sadness,1,
185," ""بس سيبك انت ... انا مبسوط باللى حصل انهارده و امبارح ... \"""" محدش قالى عقبالك \"""" :D =))) '",pos,happiness,,happiness,1,
186," ""#الوطن   عبدالمنعم إبراهيم.. \""""فتافيت سكر\"""" السينما المصرية http://t.co/B3apRKiogz '",neu,relaxed,,relaxed,1,
187, فرقوا بين الناس اللي بتحبكو و فارقين معاهم و بين اللي انتو بنسبه لهم ولا حاجة ',neu,disgust,,relaxed,FALSE,
190," """"""@MohabE_ لأ، عرص"""""""" '",neg,anger,,anger,1,
192, المشكلة ان انا لسه جعانة بجد :D ',neu,surprise,,relaxed,FALSE,
195, @Alshaikh2 شاعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن رد ',neu,surprise,,disgust,FALSE,
203, و يا رب عدلها. ',pos,sadness,,sadness,1,
206, انا كل ما اعرف حد ابن ناس يطلع يا كان صايع وربنا هداه يأما ابن ناس وحد على افاه فا هيبقى صايع  طب ليه كده طا ',neg,disgust,,surprise,FALSE,
207, @lmooos_7 @Tomi987123 @safi2332 يلا تصبحوا ع خير♥♥ ',pos,happiness,,happiness,1,
209, @samezabi @rim0o01 اصلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوة فانزه الغتت ',neg,anger,,anger,1,
210, نحن على بعد خطوات بسيطة من تحقيق حلم شاهين كلها يومين والحلم يتحقق  تخيلوا الفرحه على وشوشهم يوم اعلان النتيجه بفوز شاهين  #MohammadChahine ',pos,happiness,,happiness,1,
211, مبحبش ابين اني مضايقة والله بس بيبان عليا و بقلب وشي من غير قصد ',neg,sadness,,sadness,1,
212, @dodokemo98 @nona24_nona حسبي الله ونعم الوكيل :( ',neg,anger,,sadness,FALSE,
213, احنا الزمالك احنا ولا نسيتوا :P ',pos,happiness,,relaxed,FALSE,
215, @kamilia27644962 @cerinelle @mscallstephany @negoombookra @BRNSESREM  ربنا يهديكي ',neg,relaxed,,relaxed,1,
216, وقلبي نبضه صوت نبضك.. ',pos,relaxed,,happiness,FALSE,
218, ياسمين حمدان - لا مش أنا اللي ابكي ',neu,anger,,anger,1,
220, فيه شخصيات فى حياتى موجودة بس عشان تحرقلى دمى. ',neg,anger,,anger,1,
221, @FOmar050280 @9633656hhh استغفر الله العظيم ',neg,anger,,sadness,FALSE,
223, تحلو مراره عيشي في رضااالك ............. ',pos,relaxed,,relaxed,1,
227, اهون عليكي تهونى عليا  يالا ف داهيه :) #كرهتك ',neg,anger,,anger,1,
229, @Mawada_Hashim - هتنجحي خلاص نامي و ضميرك مرتاح ',pos,relaxed,,relaxed,1,
230, ورأيا امتحان ابن جزمة كمان خمس ساعات و مش ناقصة ',neg,anger,,anger,1,
231, @ZohooZohor @AaAaasads الحمد لله ',pos,happiness,,relaxed,FALSE,
233," """"""#عن كام مره حبيت صدفة ، و كام مره لعنتها ."""""""" '",neg,anger,,disgust,FALSE,
236," ""\""""@reeem12345s: كَثيرهہ هَيّ آمآنينآ فَ يآربَ حققّ         مآ ترآهُ خيراً لنآ..ويسعدنا♡~ ” http://t.co/3mF5fbSLaG\"""" '",pos,relaxed,,happiness,FALSE,
238, ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكرة احنا فاضين دلوقتي ع التصويت بليزز #LaithAbuJoda ليث أبو جودة ',pos,happiness,,happiness,1,
239, ان شاء الله نصبح علي خير :) ',pos,relaxed,,relaxed,1,
240, @shababic اعلام ابن ميتشين كلب :) ',neg,disgust,,anger,FALSE,
241," """"""اللهم طهر قلبي من كل ضيق، ويسر لي أمري في كل طريق"""""""" '",pos,relaxed,,relaxed,1,
243," ""\""""بوح  ياحادي العيس وينك غايبٍ  مده اليوم لاعيس لاصحرا  ولا حادي  ماغير ذكرى تهز القلب ٠٠وتهده واقول عادي وهو والله مهو عادي  ٠ ٠ #ذلك_الرجل\"""" '",neg,sadness,,sadness,1,
244, انت اول حب واخر حب هعيش وياه... واللى بينى وبينك احساس اكبر من معناه ',pos,happiness,,happiness,1,
246, @meroobas اه التييييييت بس احنا سرقنا صور كتييييير  هطلع عليهم النكد كله ',neg,anger,,anger,1,
247, الفكره اللي ماخذينها عني؟ رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالحركات ',neg,disgust,,disgust,1,
250," """"""انا فضلت متمسمره :  للدرجة دى انا مبحسش اسأله طلعت فى راسي وطفيت الاغانى وبعدين قولت طب وانا هعمل ايه وشغلت الاغانى تانى :\"""""""""""" '",neg,disgust,,sadness,FALSE,
252, الشـتـا  مبيسيبـش حد سعيـد .. ',neg,sadness,,sadness,1,
253, آنا كدا خلاص آخري جاب آخره مني . ',neg,disgust,,sadness,FALSE,
254, @DrBassemYoussef باسم يوسف انت خول وامك عارفه ',neg,anger,,anger,1,
256, بس انا لو غبيه كنت هرتاح المشكله اني بتغابي  و لو بنسي هرتاح برضو المشكله اني بتناسي و مش بعرف اسامح كمان و مفرمله نفسي اني انتقم ',neg,disgust,,disgust,1,
257, @memoo_f151 تسلمواااااااااا ',pos,happiness,,relaxed,FALSE,
266, @balawi2 وانا من الناس يارب واشتقت الى بيتك الذي وضعته لنا .. فاللهم ارزقنا زيارته ',pos,relaxed,,relaxed,1,
268, @DesoukyAya @meroobas همسكهم الاتنين و اخبطهم في حيطة و نبدأ على نضيف ',neg,anger,,anger,1,
269," """"""انا المفروض اروح الكليه بكره، اللي هو النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعتهاش :\""""D"""""""" '",neg,disgust,,disgust,1,
270, اللي ميخافش من ربنا .. خاف منه ',neu,fear,,fear,1,
273, @yosraabdelwaha2 انتي منين اصلا وعايشه فين ',neu,surprise,,relaxed,FALSE,
274, صلاه الفجر ',neu,relaxed,,relaxed,1,
276, @omarhamdino هل المشكله بتواجهك فى مكان محدد ولا اى مكان ؟ وبالنسبه لخدمة ال3G ايه علامة التغطيه الخاصه بالانترنت اللى بتظهر لك ؟ Zahran ',neu,relaxed,,relaxed,1,
278, @Ahlam_Alshamsi اللهم تقبل منا ومنكم صالح الأعمال ',pos,relaxed,,relaxed,1,
279, ممكن حد يكرهك بمجرد انك محبوب لناس كتير ',neg,disgust,,sadness,FALSE,
280, @wahetaleslam كل سنه وانتى طيبه  يامديره واحه الاسلام وربنا ىزيدك نور ورفعه انتى والمنتدى بتاعك اتمنى لكم كل الخيرات واارفعه على الدوام ',pos,relaxed,,relaxed,1,
285, اللهم بشرنا بشارة خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقاً لم نسألك اياه ولم يخطر ببالنا وجنباً شراً انت اعلم به منا ياحي ياقيوم ',pos,relaxed,,relaxed,1,
286, @Abas68Said ياصباح الفل.. ',pos,relaxed,,relaxed,1,
290, @meriem_Hd4  حد قالك انك واحدة وسخة بلوووك ',neg,anger,,disgust,FALSE,
291, @Maroc_tiskat22 اة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش فينا ',neg,disgust,,disgust,1,
292," ""\""""@3asheg1972: وكنتُ أزعم مثل الناس إذ زعموا .. بأن من غاب عني غاب عن بالي واليوم كذّبني قلبي وكذّبتهم .. فارقتهم..وأقاموا بين أوصالي\"""" '",neg,sadness,,sadness,1,
300, @rowaf @Bahraini_ADV وان يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثواب ',pos,relaxed,,relaxed,1,
301, كنت بحب المذيعة دينا عصمت لما كانت على قناة النيل للأخبار و أون تي في. للأسف مستواها نزل على سي بي سي إكسترا. كانت قارئة نشرة ممتازة. ',neg,anger,,surprise,FALSE,
302, انا خلاص قررت مش هذاكر حاجه غير ليلة الامتحان عشان كل مااذاكر حاجه انساها تاني ... كفايه تضييع وقت ف المذاكره بقي :/ ',neg,disgust,,disgust,1,
303, كنت واقفة في البلكونة بدري كدة فلقيت عامل النظافة منضف الشارع يادوب طلع لأول الشارع ورجع تاني قام منضف تاني ولا هو #الاستهتار_اسلوب_حياه ',neg,disgust,,disgust,1,
304, عيونها يتالف فيها اشعار ',pos,surprise,,relaxed,FALSE,
307, سبحان الله وبحمده . http://t.co/bqDZM9LMUd ',neu,relaxed,,relaxed,1,
308, أرموهم في أعماق البحار حتي تشتت الأمواج أشلائهم .. ',neg,anger,,anger,1,
309, وأتارى المحاسبة غداره غداره . ',neg,disgust,,surprise,FALSE,
313, #عن الناس اللي عايشة عشان توجعك و بس ',neg,disgust,,sadness,FALSE,
318," """"""وضوءك لصلاة الليل وصلاة الفجر ، مع شعورك بالبرد  هذه القشعريره كفيلة بنسف جبال الخطايا التي قد تحملها ♥"""""""" '",pos,relaxed,,relaxed,1,
321, @3nTbly صباح الورد يا عنتبلي بيه ! ',pos,happiness,,happiness,1,
323, حد هنا شغال في بنك QNB ',neu,relaxed,,relaxed,1,
324, @Msraweya اه و الله تعبنا فشخ ',neg,disgust,,disgust,1,
325, يحيى لس مكلمنى مصتقدش إنه لسه حى ممتش ',pos,surprise,,surprise,1,
330, وجهة نظر برده ',neu,relaxed,,relaxed,1,
334, &gt;.&lt;أصبح الوضع ﻻ يطاق ',neg,disgust,,sadness,FALSE,
339," ""\""""@AymanNour: http://t.co/wF7BlZD1XD في أول تصريح له السبسي يطلب تفويضا من الشعب لمواجهة إرهاب محتمل!! (واضح أن الكتلوج واحد)\"""" '",neg,disgust,,disgust,1,
341, #كيف_ننصر_ديننا 1-السير في طريق العلم 2-الدعوة إلى الله بما معك من العلم 3-إن لم تستطع فكن محباً للعلم وأهله @Betaqadaawia ',neu,relaxed,,relaxed,1,
344, مشكله اااي #بت انها عايزه الواد #يهتم بيها ال24 ساعه حتي وهو #نايم #الرحمه_حلوه ',neg,anger,,disgust,FALSE,
345, @nadamuhamed16 يا ريت كلهم زيك يا بنتي والله ',pos,relaxed,,relaxed,1,
346, صباحووو ^_^ ',pos,happiness,,happiness,1,
347," ""#القرضاوي مهاجما #قطر: لا يحتفلون بالمولد النبوي ويحتفلون بـ\""""الكريسماس\""""  ماانت عايش في قطر من السينات لسه واخد بالك دلوقتي '",neg,surprise,,anger,FALSE,
349, #الوطن  بالفيديو  #القرضاوي يهاجم #قطر: لا يحتفلون بالمولد النبوي ويعتبرونه بدعة  http://t.co/C7UK8dwc1V ',neu,surprise,,surprise,1,
350, طريقك مسدود مسدود يا ولدى  *بصوت سعيد صالح* ',neg,anger,,sadness,FALSE,
351, @EgyptianPolice0 طيب ياشرطة يامصرية في كتير اخوان في المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات ',neg,anger,,surprise,FALSE,
353, ده انا كنت ناسي والله ورجعني الحنين .... وتحت شباكك بيرميني الحنين :/ ',neg,sadness,,sadness,1,
355, @AymanNour انقلاب اية ربنا يقلب مصرانكم ان شاء الله ',neg,anger,,disgust,FALSE,
358, احا .. يعنى صاحى على بليز كول مى وقولنا ماشى انما ملاقيش علبه السجاير .. احا بجد دا انا شارب منها سجارة واحده بس ',neg,anger,,anger,1,
361, السنة ملهاش دعوة بنجاحك وفشلك والحقيقة انك فاشل عشان انت خول وعلق مش عشان انت سئ الحظ او قوانين الطبيعة والزمن بيتامروا عليك صانع الساعات ',neg,anger,,anger,1,
362," """"""قال رسول الله ﷺ \""""لاتقولواللمنافق:سيدنا،فإنه إن يك سيدكم فقدأسخطتم ربكم-عزوجل-\"""". [الصحيحة:371]"""""""" '",neu,relaxed,,relaxed,1,
363, يَا رب  أمنحني قلب مبتسمَ يُسعد ﻣن حولي وَ آغمرھہ بَ آلقوّھہ وَ آﻟصبر  حتى لآ ﻳضعف آمآم شيء  [ سوآك ].. صباح الخيرات http://t.co/NwSmaSaI1r ',pos,relaxed,,happiness,FALSE,
365," ""Mama said:\""""هتيجبي ملاحق يا هيدي \"""" '",neg,fear,,fear,1,
366, @ameeallam الثانوية دى بتنمى الغباء ',neg,disgust,,disgust,1,
369, لا تطلب من الله مالا تستطيع تأدية شكره أو تحمل عبئه .والا. فلما ءاتاهم من فضله بخلوا به...... فأعقبهم نفاقا في قلوبهم إلى يوم يلقونه ',neu,relaxed,,relaxed,1,
371, مش ينفع تكون متعاطف او مؤمن بفكرا او رآي او شخص او حزب او كيان.. الخ وتقارنه بشبيه  ولكن متناقض مع الشئ دا.. لن تكون منصف بالمرا :-) ',neg,relaxed,,relaxed,1,
376, وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَى ﴿٥﴾ أَلَمْ يَجِدْكَ يَتِيمًا فَآوَى ﴿٦﴾ وَوَجَدَكَ ضَالًّا فَهَدَى ﴿٧﴾وَوَجَدَكَ عَائِلًا فَأَغْنَى ',pos,relaxed,,relaxed,1,
384, #المصدر  #الروبل_الروسي يتراجع 0.7 \% أمام الدولار  للمزيد :http://t.co/eQntVOB4uc http://t.co/RDHwJ6kxdO ',neu,relaxed,,relaxed,1,
385," ""#المصدر  \""""#برنت \""""يتراجع باتجاه 61 دولارا للبرميل في التعاملات الاسيوية  للتفاصيل :http://t.co/HspdXCeuhw '",neu,relaxed,,relaxed,1,
386, @LonaloloLona ♥ ♡مساااااااء_الخيراااااات♡♥ ',pos,happiness,,happiness,1,
394, قم بتجهيز ملعب #نجيل_صناعي كامل متكامل مع #بيبا_سبورت بأقل سعر وضمان 8 سنوات http://t.co/zvM0NiRvqx 01027399960 - 01027399962 ',neu,relaxed,,relaxed,1,
396, فؤاد المهندس و شويكار ! ',pos,happiness,,happiness,1,
400, موديول منحس من اوله ',neg,sadness,,disgust,FALSE,
401," ""\""""@JassmineHady: لك الحمد ربي عدد خلايا أجسادنا المتعافيه وعدد أيامنا التي لا نشكوا فيها وعدد نعمك التي لا نحصيها  #الحمدلله\"""" '",pos,relaxed,,relaxed,1,
404, حفظ الله مصر http://t.co/mz6YSoxpRn ',pos,relaxed,,relaxed,1,
405," """"""شكراً لأنك في حياتي ، شكراً لأنك حياتي  صباح الحب ❤"""""""" '",pos,happiness,,happiness,1,
406, الملل بالنسبالى اشبه بالموت ',neg,fear,,fear,1,
407, وتعيش يا جيش بلادى http://t.co/U1BVnYvvVO ',pos,relaxed,,happiness,FALSE,
408, علبه كشرى وسط ب 6 جنيه !!!! يعنى لو اربع افراد ب 24 جنيه !!! بلد مفيش متها امل .. ',neg,disgust,,disgust,1,
410, اصاله دى حاله جميله ',pos,relaxed,,happiness,FALSE,
417, @Q55665 اريد عمل اناسائق ',neu,relaxed,,relaxed,1,
424, سأبتسم في وجه من يكرهني فان لم أكسب محبته سأنجح في فقع مرارته  #تمثلنى وبشده ',neu,anger,,relaxed,FALSE,
425, @lolo00o3 @yazn200077 هما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاجه #DoaaElSebaii #StaracArabia ',neu,surprise,,surprise,1,
426, @StaracArabia @Mohammad_Cha 2 22222222222222222222222222222222222 اللقب لا يليق الا بك يا شاهينووووووووو ',pos,happiness,,happiness,1,
427, @MawlaNa92 يسطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياسطا ',neg,anger,,disgust,FALSE,
429, @sarahesham3 والله كدابين ما انا ميزان اهو ',neg,anger,,disgust,FALSE,
430, @sso2166 السلام عليكم ورحمة الله وبركاته اهﻻ وسهﻻ شرفت بمتابعتك ',pos,relaxed,,relaxed,1,
431, أحا أحوه كس أم حسام وأخوه ',neg,disgust,,anger,FALSE,
432, الاهلى ♥ ',pos,happiness,,happiness,1,
433," ""#الوطن  غادة عبدالرازق تنشر صورتها بـ\""""اتحاد الطلبة\"""" وناشط: مربية أجيال وأجيال  http://t.co/CyGfw7KbXU http://t.co/t1jsF4uF6L '",neu,relaxed,,relaxed,1,
434, الحمد لله على نعمه المناخير الصغيره ',pos,relaxed,,relaxed,1,
438, @saraaser2 حساب شيرين يحيى http://t.co/POngJqePzD  http://t.co/7zs1QR5eyi  http://t.co/p696ECH0wx … … #ShereenYehia #StaracArabia ',neu,relaxed,,relaxed,1,
439, الدكاترة desgin نفسى افهم انا شغال معاك من اول الترم و طالع عين اهلى تيجى بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز ! #قسم_ دراما ',neg,disgust,,anger,FALSE,
440, @na7lat ربنا يخليهولك ويسعدكوا ',pos,happiness,,relaxed,FALSE,
444, @nassersaly @nohasamah1 الله واكبر على رنوووشتنا ربنا يكتر من لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربة فى الوطن ',pos,happiness,,relaxed,FALSE,
446," ""أنا نفسي مرة أجرب أكون ليك حد أقرب :\"""") '",neg,relaxed,,sadness,FALSE,
447, انت موجود في خيالي اكتر مانت موجود في الواقع ',neg,sadness,,sadness,1,
449, @YasminMahfouz انها حبوب منع الفهم ',neg,disgust,,disgust,1,
456, والله كنت ناوي اذاكر بس واضح ان مفيش نصيب. ',neg,relaxed,,sadness,FALSE,
